X,Y,OBJECTID,COUNTY,LATITUDE,LONGITUDE,STATION,RAIL_LINE,MUN_LABEL,ATIS_ID,AMTRAK
560553.9955,700189.9109,57,ESSEX,40.755417,-74.25298514,Mountain Station,Morristown Line/M&E,South Orange Village Township,RAIL0097,N
563107.4662,704374.3677,58,ESSEX,40.76688315,-74.2437236,Highland Avenue,Morristown Line/M&E,City of Orange Township,RAIL0061,N
566036.0876,706206.657,59,ESSEX,40.77188877,-74.23313004,Orange,Morristown Line/M&E,City of Orange Township,RAIL0112,N
569882.6905,703889.1886,60,ESSEX,40.76549444,-74.21926808,Brick Church,Morristown Line/M&E,East Orange City,RAIL0023,N
572189.032,702272.2236,61,ESSEX,40.76103536,-74.21096072,East Orange,Morristown Line/M&E,East Orange City,RAIL0037,N
583027.488,697422.7842,62,ESSEX,40.74761919,-74.17189882,Newark Broad Street,Morris & Essex Line,Newark City,RAIL0106,N
632765.7054,698546.2281,63,"NEW YORK CITY, NY",40.750053,-73.992357,New York Penn Station,NEC / NJCL / M&E,"New York City, NY",RAIL0105,Y
428376.443,755539.6762,64,MORRIS,40.90738433,-74.73064544,Mount Olive,Montclair-Boonton Line/M&E,Mount Olive Township,RAIL0093,N
399514.6985,735464.3643,65,WARREN,40.85202342,-74.83478946,Hackettstown,Montclair-Boonton Line/M&E,Hackettstown Town,RAIL0054,N
434830.8369,751944.6351,66,MORRIS,40.89756056,-74.70726247,Netcong,Montclair-Boonton Line/M&E,Netcong Borough,RAIL0101,N
446316.8884,754387.6906,67,MORRIS,40.90433376,-74.66572843,Lake Hopatcong,Montclair-Boonton Line/M&E,Roxbury Township,RAIL0067,N
476695.2883,746731.2361,68,MORRIS,40.8834228,-74.55580534,Dover,Montclair-Boonton Line/M&E,Dover Town,RAIL0035,N
497237.0841,746899.1734,69,MORRIS,40.8838958,-74.48151076,Denville,Montclair-Boonton Line/M&E,Denville Township,RAIL0034,N
497122.8324,743974.9165,70,MORRIS,40.87586892,-74.48192617,Mount Tabor,Morristown Line/M&E,Denville Township,RAIL0094,N
498157.5147,726797.9603,71,MORRIS,40.82871816,-74.47819987,Morris Plains,Morristown Line/M&E,Morris Plains Borough,RAIL0091,N
499279.9065,715322.5535,72,MORRIS,40.79721754,-74.47415603,Morristown,Morristown Line/M&E,Morristown Town,RAIL0092,N
507797.8776,708699.2564,73,MORRIS,40.77902564,-74.44340403,Convent Station,Morristown Line/M&E,Morris Township,RAIL0030,N
515635.4505,700708.0427,74,MORRIS,40.75707241,-74.41512988,Madison,Morristown Line/M&E,Madison Borough,RAIL0077,N
524000.2547,694568.157,75,MORRIS,40.74019222,-74.38496296,Chatham,Morristown Line/M&E,Chatham Borough,RAIL0027,N
510489.3778,747659.4163,76,MORRIS,40.88596498,-74.43357817,Mountain Lakes,Montclair-Boonton Line/M&E,Mountain Lakes Borough,RAIL0096,N
517629.0998,754011.6694,77,MORRIS,40.90338377,-74.40773043,Boonton,Montclair-Boonton Line/M&E,Boonton Town,RAIL0020,N
535295.2501,761128.3261,78,MORRIS,40.92284961,-74.34377146,Towaco,Montclair-Boonton Line/M&E,Montville Township,RAIL0147,N
546885.2522,761623.4993,79,MORRIS,40.92414437,-74.30182463,Lincoln Park,Montclair-Boonton Line/M&E,Lincoln Park Borough,RAIL0069,N
556295.4033,757942.9886,80,PASSAIC,40.91397815,-74.26780523,Mountain View-Wayne,Montclair-Boonton Line/M&E,Wayne Township,RAIL0098,N
565295.8804,745835.628,81,PASSAIC,40.88067433,-74.23537061,Little Falls,Montclair-Boonton Line/M&E,Little Falls Township,RAIL0072,N
574416.3405,737437.275,82,ESSEX,40.85754114,-74.2024892,Montclair Heights,Montclair-Boonton Line/M&E,Montclair Township,RAIL0089,N
573648.6852,734222.4694,83,ESSEX,40.84872386,-74.2053036,Mountain Avenue,Montclair-Boonton Line/M&E,Montclair Township,RAIL0095,N
572534.9978,731775.0363,84,ESSEX,40.84201604,-74.20935873,Upper Montclair,Montclair-Boonton Line/M&E,Montclair Township,RAIL0150,N
573221.9338,727225.0071,85,ESSEX,40.82952022,-74.20693084,Watchung Avenue,Montclair-Boonton Line/M&E,Montclair Township,RAIL0153,N
572491.8198,722750.3447,86,ESSEX,40.81724421,-74.20962288,Walnut Street,Montclair-Boonton Line/M&E,Montclair Township,RAIL0152,N
572764.1758,719448.5797,87,ESSEX,40.80817856,-74.20867847,Bay Street-Montclair,Montclair-Boonton Line/M&E,Montclair Township,RAIL0014,N
573889.8452,716688.455,88,ESSEX,40.80059181,-74.20464546,Glen Ridge,Montclair-Boonton Line/M&E,Glen Ridge Borough,RAIL0050,N
575167.7698,713820.7822,89,ESSEX,40.79270828,-74.20006477,Bloomfield,Montclair-Boonton Line/M&E,Bloomfield Township,RAIL0019,N
575629.237,710180.7889,90,ESSEX,40.78271231,-74.19844326,Watsessing,Montclair-Boonton Line/M&E,Bloomfield Township,RAIL0154,N
619112.5067,453355.2106,91,OCEAN,40.07718894,-74.04618116,Bay Head,North Jersey Coast Line,Bay Head Borough,RAIL0013,N
301113.6109,409819.3459,92,"PHILADELPHIA, PA",39.95655351,-75.18142027,30th Street Station,Atlantic City Line,"Philadelphia, PA",RAIL0001,Y
340228.7941,399314.0385,93,CAMDEN,39.92844978,-75.04165867,Cherry Hill,Atlantic City Line,Cherry Hill Township,RAIL0028,N
351651.6666,364755.4886,94,CAMDEN,39.8337586,-75.00023659,Lindenwold,Atlantic City Line,Lindenwold Borough,RAIL0071,N
377552.3068,346361.7137,95,CAMDEN,39.78362152,-74.90770641,Atco,Atlantic City Line,Waterford Township,RAIL0009,N
407776.4845,290896.9739,96,ATLANTIC,39.63167271,-74.79949633,Hammonton,Atlantic City Line,Hammonton Town,RAIL0055,N
450336.6743,252501.3423,97,ATLANTIC,39.52654651,-74.64815394,Egg Harbor City,Atlantic City Line,Egg Harbor City,RAIL0039,N
491534.5306,215235.8631,98,ATLANTIC,39.42432412,-74.50209036,Absecon,Atlantic City Line,Absecon City,RAIL0002,N
508670.87,193016.9839,99,ATLANTIC,39.363304,-74.441476,Atlantic City,Atlantic City Line,Atlantic City,RAIL0010,N
587614.0152,830750.8197,100,"ROCKLAND, NY",41.11353988,-74.15343762,Suffern,Main/Bergen Line,"Ramapo Town, NY",RAIL0144,N
589523.9386,823776.2871,101,BERGEN,41.09437519,-74.14660862,Mahwah,Main/Bergen Line,Mahwah Township,RAIL0078,N
590836.3372,810130.5502,102,BERGEN,41.05690562,-74.14205018,Ramsey,Main/Bergen Line,Ramsey Borough,RAIL0128,N
593927.7155,800682.3608,103,BERGEN,41.03093673,-74.13098525,Allendale,Main/Bergen Line,Allendale Borough,RAIL0003,N
596043.4091,794082.5508,104,BERGEN,41.01279661,-74.12341964,Waldwick,Main/Bergen Line,Waldwick Borough,RAIL0151,N
598799.5703,788473.5283,105,BERGEN,40.99736775,-74.11352201,Ho-Ho-Kus,Main/Bergen Line,Ho-Ho-Kus Borough,RAIL0064,N
596881.2159,782382.5952,106,BERGEN,40.98067221,-74.12056784,Ridgewood,Main/Bergen Line,Ridgewood Village,RAIL0131,N
593352.8328,775654.1996,107,BERGEN,40.96224513,-74.13344979,Glen Rock-Main,Main/Bergen Line,Glen Rock Borough,RAIL0052,N
588144.0772,768452.9984,108,PASSAIC,40.94253722,-74.15241425,Hawthorne,Main/Bergen Line,Hawthorne Borough,RAIL0058,N
584063.4213,758377.8532,109,PASSAIC,40.91492573,-74.16732458,Paterson,Main/Bergen Line,Paterson City,RAIL0116,N
588042.1702,741293.3175,110,PASSAIC,40.86798806,-74.15317285,Clifton,Main/Bergen Line,Clifton City,RAIL0029,N
593391.3492,734555.3595,111,PASSAIC,40.84943323,-74.13393294,Passaic,Main/Bergen Line,Passaic City,RAIL0115,N
594159.2551,727976.6768,112,PASSAIC,40.83136648,-74.13125718,Delawanna,Main/Bergen Line,Clifton City,RAIL0033,N
596124.9264,722558.3901,113,BERGEN,40.81647081,-74.12423752,Lyndhurst,Main/Bergen Line,Lyndhurst Township,RAIL0075,N
